Id,Decision Date,Employer,"City, State",Case Status,Job Title,Wage Offer
A-16292-62848,2017-01-10,"Oracle America, Inc.","Redwood Shores, CA",Certified,"Software Developers, Systems Software, Level II","113,381.00/Year"
A-16279-59201,2017-01-10,Apple Inc.,"Cupertino, CA",Certified,"Software Developers, Systems Software","127,617.00/Year"
A-16245-49152,2017-01-10,Adobe Systems Incorporated,"San Jose, CA",Certified,"Computer Systems Analysts, Level II","105,872.00/Year"
A-16307-67392,2017-01-10,"Tai Tung Pharmacy, Inc.","Boston, MA",Certified,"Pharmacist, Level I","92,019.00/Year"
A-16305-66889,2017-01-10,Ampro Adlink Technology Inc.,"San Jose, CA",Certified,"Database Administrators, Level I","81,520.00/Year"
A-16285-60493,2017-01-10,Global Unichip Corporation-na,"San Jose, CA",Certified,"Sales Engineers, Level II","109,512.00/Year"
A-16189-30229,2017-01-10,Ecolab Inc.,"Naperville, IL",Certified,"Marketing Managers, Level II","104,290.00/Year"
A-16306-66982,2017-01-09,"Defender Services, Inc.","Gastonia, NC",Certified,"Packers and Packagers, Level I",8.27/Hour
A-16260-53508,2017-01-09,Advanced Industrial Computer Inc,"City of Industry, CA",Certified,"Market Research Analysts and Marketing Specialists, Level I","42,000.00/Year"
A-16308-67971,2017-01-09,"Defender Services, Inc.","Gastonia, NC",Certified,"Packers and Packagers, Level I",8.27/Hour
A-16222-40511,2017-01-06,Apple Inc.,"Cupertino, CA",Certified,"Electronics Engineers, Except Computer, Level II","145,000.00/Year"
A-16189-30318,2017-01-06,Us Army Defense Language Institute Foreign La,"Monterey, CA",Certified,"Foreign Language Teacher, Level I","55,400.00/Year"
A-16137-10635,2017-01-06,Garden Banner Foods,"Commerce, CA",Certified,"Business Development Specialist, Level I","39,354.00/Year"
A-16279-59341,2017-01-06,"Carol Stream Fitness, Llc D/b/a Retro Fitness","Carol Stream, IL",Certified,"Bookkeeping, Accounting, and Auditing Clerks, Level III","40,830.00/Year"
A-16294-63591,2017-01-05,Ebs Healthcare,"West Chester, PA",Certified,"Occupational Therapists, Level III","76,586.00/Year"
A-16281-59982,2017-01-05,"California State University, Fullerton","Fullerton, CA",Certified,Assistant Professor of Economics,"94,500.00/Year"
A-16132-08154,2017-01-05,"House Of International, Inc. (dba Apex Casket Co.)","Pomona, CA",Certified,"Carpenters, Level IV","66,373.00/Year"
A-16266-55191,2017-01-04,Sharp Electronics Corporation D/b/a Sharp Microelectronics Of Th,"CAMAS, WA",Denied,"MARKETING MANAGER, Level IV","133,515.00/Year"
A-16288-62021,2017-01-04,"Synopsys, Inc.","Mountain View, CA",Certified,"Electronics Engineers, Except Computer, Level II","108,992.00/Year"
A-16280-59834,2017-01-04,Motorola Mobility Llc,"Chicago, IL",Certified,"Electronics Engineers, Except Computer, Level II","100,000.00/Year"
A-16130-07073,2017-01-03,Globalfoundries U.s. Inc.,"Malta, NY",Certified,"Materials Engineers, Level IV","147,720.00/Year"
A-16189-30105,2016-12-29,Cp Shades Inc.,"Sausalito, CA",Certified,"Market Research Analysts and Marketing Specialists, Level I","60,000.00/Year"
A-16230-43435,2016-12-27,"Woodcrafters Home Products, Llc","Weslaco, TX",Certified,"Commercial and Industrial Designers, Level III","62,067.00/Year"
A-16293-63091,2016-12-27,Qualcomm Technologies Inc.,"San Diego, CA",Certified,"Transportation, Storage, and Distribution Managers, Level II","85,010.00/Year"
A-16125-05828,2016-12-27,"Airhop Communications, Inc.","San Diego, CA",Certified,"Software Developers, Systems Software, Level I","105,000.00/Year"
A-16301-66112,2016-12-23,"International Health Clinic, P.a.","Clearwater, FL",Certified,"Occupational Therapist, Level II","71,552.00/Year"
A-15329-43851,2016-12-22,G.b.t Inc.,"City of Industry, CA",Denied,"Market Research Analyst and Marketing Specialist, Level I","40,000.00/Year"
A-16278-58907,2016-12-22,Amazon Corporate Llc,"Seattle, WA",Certified,"Software Developers, Applications, Level II","101,088.00/Year"
A-16272-57166,2016-12-22,"Zspace, Inc.","Sunnyvale, CA",Certified,"Software Developers, Systems Software","105,000.00/Year"
A-16357-84229,2016-12-22,"Edgewood College, Inc.","Madison, WI",Withdrawn,"Education Teachers, Postsecondary, Level I","55,000.00/Year"
A-16126-06077,2016-12-21,Bay Area Montessori Materials Inc.,"Santa Clara, CA",Denied,"Kindergarten Teachers, Except Special Education, Level II","55,530.00/Year"
A-16194-31829,2016-12-21,Bne Global Inc.,"Romulus, MI",Certified,"Electronics Engineers, Except Computer, Level II","73,020.00/Year"
A-16299-65137,2016-12-21,"Jis Engine, L.p.","Arlington, TX",Certified,"Market Research Analysts and Marketing Specialists, Level II","53,019.00/Year"
A-16098-94387,2016-12-21,"Healthsouth Rehabilitation Hospital Of Arlington,l","Arlington, TX",Certified,"Occupational Therapist, Level II","74,838.00/Year"
A-16098-94348,2016-12-21,"Healthsouth Rehabilitation Hospital Of Arlington,l","Arlington, TX",Certified,"Occupational Therapist, Level II","74,838.00/Year"
A-10095-93366,2016-12-20,Ricon Corporation,"Panorama City, CA",Denied,"Mechanical Engineer, Level I","61,000.00/Year"
A-10265-21079,2016-12-20,Marin Software Inc.,"San Francisco, CA",Denied,"Computer Software Engineers, Applications, Level I","80,000.00/Year"
A-16299-64834,2016-12-20,Hilton Garden Inn New York Midtown / Park Avenue,"New York, NY",Certified,"Accountants and Auditors, Level II","76,170.00/Year"
A-16285-60285,2016-12-20,Garden Of Hope Inc.,"Flushing, NY",Certified,"Child Family and School Social Worker, Level II","48,235.00/Year"
A-16117-02355,2016-12-19,Ase (u.s.) Inc.,"Irvine, CA",Certified,"Electronics Engineers, Except Computer, Level I","65,541.00/Year"
A-16127-06893,2016-12-16,"Facebook, Inc.","Menlo Park, CA",Certified,"Software Developers, Applications, Level II","117,603.00/Year"
A-16099-95110,2016-12-16,Archcom Technology Inc.,"South Plainfield, NJ",Certified,"Optoelectrical Enginner, Level II","90,688.00/Year"
A-16278-58776,2016-12-16,"Testengeer, Inc.","Port Lavaca, TX",Certified,"Civil Engineers, Level I","33,488.00/Year"
A-16278-58767,2016-12-16,"Sun West Mortgage Co, Inc.","Cerritos, CA",Certified,"Computer Programmers, Level II","75,000.00/Year"
A-16266-55130,2016-12-16,Amazon Corporate Llc,"Seattle, WA",Certified,"Software Developers, Systems Software, Level II","99,466.00/Year"
A-16202-34205,2016-12-15,Marcum Bernstein & Pinchuk Llp,"New York, NY",Certified,"Marketing Managers, Level I","108,493.00/Year"
A-16182-27891,2016-12-15,Mediatek Usa Inc.,"SAN JOSE, CA",Certified,Sales Engineers,"85,000.00/Year"
A-16147-14860,2016-12-15,Google Inc.,"Mountain View, CA",Certified,"Software Developers, Applications","120,349.00/Year"
A-16134-09701,2016-12-15,Canaan Delicacies,"Artesia, CA",Certified,"Chinese Cook, Level III","43,950.00/Year"
A-16133-09553,2016-12-15,Denver County School District Aka Denver Public Sc,"Denver, CO",Certified,"Middle School Math and Science Teacher, Level I","39,880.00/Year"
A-16127-06574,2016-12-15,"Muy Hamburger Partners, Llc","MORAINE, OH",Certified,"Combined Food Preparation and Serving Workers, Including Fast Fo, Level I",8.63/Hour
A-16278-58905,2016-12-15,Innodisk Usa Corporation,"Fremont, CA",Certified,"Accountants and Auditors, Level II","72,000.00/Year"
A-16277-58448,2016-12-15,New York Poplin Llc,"New York, NY",Certified,"Fashion Production Coordinator, Level II","61,402.00/Year"
A-16277-58309,2016-12-14,Google Inc.,"Sunnyvale, CA",Certified,"Software Developers, Applications, Level II","120,349.00/Year"
A-16125-05611,2016-12-14,"Mighty Enterprises, Inc.","Torrance, CA",Denied,"Mechanical Engineer, Level I","64,147.00/Year"
A-16270-56160,2016-12-14,"Flex Logix Technologies, Inc.","Mountain View, CA",Certified,"Electronics Engineers, Except Computer, Level II","108,992.00/Year"
A-16293-63122,2016-12-14,Agma Systems Llc,"Bridgewater, NJ",Withdrawn,"Software Developers, Applications, Level III","103,626.00/Year"
A-16268-56008,2016-12-14,Blazee Inc.,"Fremont, CA",Certified,"Software Developers, Applications, Level I","79,498.00/Year"
A-16266-55370,2016-12-14,Panasonic Avionics Corporation,"Lake Forest, CA",Certified,"Software Developers, Systems Software","106,257.00/Year"
A-16266-55228,2016-12-14,Ebs Healthcare,"West Chester, PA",Certified,"Speech-Language Pathologist, Level II","73,341.00/Year"
A-16260-53593,2016-12-14,Fashion City Int'l Corp.,"La Verne, CA",Certified,"Sales Managers, Level I","53,768.00/Year"
A-16340-77465,2016-12-13,Amazon Corporate Llc,"Seattle, WA",Withdrawn,"Transportation, Storage, and Distribution Managers, Level IV","128,000.00/Year"
A-16323-73032,2016-12-13,"Muy Pizza Houston, Llc","SPRING, TX",Withdrawn,"COOKS, FAST FOOD, Level I","16,994.00/Year"
A-16274-58053,2016-12-13,Dell Products Lp,"Austin, TX",Certified,Financial Analysts,"115,900.00/Year"
A-16218-39604,2016-12-13,The Pnc Financial Services Group,"Pittsburgh, PA",Certified,"Statisticians, Level I","115,000.00/Year"
A-16273-57646,2016-12-12,"Continental Tire The Americas, Llc","Auburn Hills, MI",Certified,"Industrial Engineers, Level I","73,022.00/Year"
A-16273-57637,2016-12-12,"Tawa Services, Inc.","Buena Park, CA",Certified,"Market Reserch Analyst & Marketing Specialist, Level I","40,000.00/Year"
A-16258-52790,2016-12-12,Multi W Systems,"El Monte, CA",Certified,"Mechanical Engineers, Level III","99,466.00/Year"
A-16271-56495,2016-12-12,Google Inc.,"Mountain View, CA",Certified,"Software Developers, Applications","99,939.00/Year"
A-16270-56432,2016-12-12,"Goodland Global Farm, Inc.","Commerce, CA",Certified,"Logisticians, Level II","68,786.00/Year"
A-16270-56391,2016-12-12,University Of Pennsylvania,"Philadelphia, PA",Certified,"Biostatistician, Level I","62,000.00/Year"
A-16196-32685,2016-12-12,"Yourpeople, Inc. D/b/a Zenefits","San Francisco, CA",Denied,"Software Developers, Applications, Level II","160,000.00/Year"
A-10259-19936,2016-12-09,"J. R. Miller & Associates, Inc.","BREA, CA",Denied,"Interior Designers, Level I","33,634.00/Year"
A-13267-99737,2016-12-09,"Intelligent Automation, Inc.","Rockville, MD",Denied,"Computer and Information Research Scientists, Level I","63,544.00/Year"
A-11293-13148,2016-12-09,P. Huang Inc.,"Monterey Park, CA",Certified,"Accounting Clerk, Level II","32,600.00/Year"
A-16253-51398,2016-12-09,Diamond Wipes International Inc.,"Chino, CA",Certified,"Management Analyst, Level II","67,000.00/Year"
A-16293-63437,2016-12-09,"Yang & Wang, P.c.","City of Industry, CA",Certified,"INTERNATIONAL BUSINESS AND CORPORATE ATTORNEY, Level IV","213,970.00/Year"
A-16267-55784,2016-12-09,"Facebook, Inc.","Menlo Park, CA",Certified,"Software Developers, Applications, Level II","98,987.00/Year"
A-16165-20892,2016-12-09,Texas A&m; University-san Antonio,"San Antonio, TX",Certified,"Assistant Professor, Level I","87,150.00/Year"
A-16241-47063,2016-12-09,Garrido Printing Equipment Inc.,"Miami, FL",Certified,"Installation and Training Representative, Level IV","5,200.00/Month"
A-16134-09957,2016-12-09,Muy Pizza Tejas Llc,"DEL RIO, TX",Certified,"COMBINED FOOD PREPARATION AND SERVING WORKERS, INCLUDING FAST FO, Level I","16,848.00/Year"
A-16274-57793,2016-12-08,Google Inc.,"Mountain View, CA",Certified,"Software Developers, Applications","120,349.00/Year"
A-16272-57295,2016-12-08,Mentor Graphics Corporation,"Fremont, CA",Certified,"Software Developers, Systems Software, Level II","139,200.00/Year"
A-16144-13536,2016-12-08,Muy Pizza Southeast Llc,"GREENSBORO, NC",Certified,"COOKS, FAST FOOD, Level I","16,682.00/Year"
A-16035-69609,2016-12-08,Pink Tower Inc,"Sunnyvale, CA",Certified,"Kindergarten Teachers, Except Special Education, Level I","45,370.00/Year"
A-15322-40840,2016-12-07,"Rf Micro Devices, Inc. (dbaqorvo)","Greensboro, NC",Denied,"Electronic Engineer, Level II","85,250.00/Year"
A-16246-49338,2016-12-07,"Samsung Electronics America, Inc.","Ridgefield Park, NJ",Certified,"Computer Occupations, All Other, Level II","105,000.00/Year"
A-16128-06957,2016-12-07,"Pure Beauty Farms, Inc","Miami, FL",Certified,"Farmworkers and Laborers, Crop, Nursery and Greenhouse, Level I","17,909.00/Year"
A-16119-03627,2016-12-05,Prosci Incorporated,"Poway, CA",Certified,"Market Research Analysts and Marketing Specialists, Level II","52,208.00/Year"
A-16255-51517,2016-12-05,Asus Computer International,"Fremont, CA",Certified,"Marketing Manager, Level I","101,795.00/Year"
A-16255-51514,2016-12-05,Asus Computer International,"Basking Ridge, NJ",Certified,"Sales Managers, Level I","88,800.00/Year"
A-16254-51505,2016-12-05,Chiao Hsin Chinese Language School,"Monterey Park, CA",Certified,"Instructional Coordinators, Level II","58,531.00/Year"
A-16253-51448,2016-12-05,"Muy Hamburger Partners, Llc","Buffalo, NY",Certified,"Combined Food Preparation and Serving Workers, Including Fast Fo, Level I",9.75/Hour
A-16160-19665,2016-12-05,"Siliconware Usa, Inc.","San Jose, CA",Denied,"Materials Engineers, Level II","105,539.00/Year"
A-16243-47809,2016-12-02,Google Inc.,"Mountain View, CA",Certified,"Software Developers, Applications","99,939.00/Year"
A-16253-51271,2016-12-02,Jeditron Technologies Corp,"Fremont, CA",Certified,"Database Administrators, Level II","76,898.00/Year"
A-16259-53191,2016-12-01,Transperfect Translations International Inc.,"New York, NY",Certified,"Sales Engineers, Level I","65,270.00/Year"
A-16265-54649,2016-12-01,"Information Resources, Inc.","Chicago, IL",Certified,"Statisticians, Level I","90,000.00/Year"
A-16260-53399,2016-12-01,"Tc International, Inc.","Whittier, CA",Certified,"Commercial and Industrial Designers, Level II","57,075.00/Year"
A-16322-72247,2016-12-01,"Asian Kitchen, Inc. Dba Asian Kitchen","Elizabeth, CO",Withdrawn,"restaurant cook, Level IV","26,354.00/Year"
A-16244-48092,2016-11-30,Mediatek Usa Inc.,"Austin, TX",Certified,"Electronics Engineers, Except Computer, Level III","137,000.00/Year"
A-16242-47577,2016-11-30,General Transworld Corp,"Carson, CA",Certified,"Market Research Analysts and Marketing Specialists, Level I","39,354.00/Year"
A-16263-53840,2016-11-30,"Microassist, Inc.","Austin, TX",Certified,"Training and Development Specialists, Level II","48,339.00/Year"
A-16261-53688,2016-11-30,Royole Corporation,"Fremont, CA",Certified,"Device Engineer, Level II","92,581.00/Year"
A-16053-75587,2016-11-30,Piko Fashion Corporation,"Los Angeles, CA",Certified,"Market Research Analyst, Level I","39,354.00/Year"
A-16320-71435,2016-11-29,Amazon Corporate Llc,"Seattle, WA",Withdrawn,"Financial Managers, Level II","100,000.00/Year"
A-16259-53026,2016-11-29,Michael Lin,"Winters, CA",Certified,"Logisticians, Level I","56,347.00/Year"
